Airline,From,To
Nauru Ailines,Nauru,Honiara
Nauru Ailines,Nauru,Brisbane
Nauru Ailines,Nauru,Tarawa
Nauru Ailines,Tarawa,Majuro
Nauru Ailines,Majuro,Pohnpei
Nauru Ailines,Nauru,Nadi
Nauru Ailines,Nadi,Nauru
Solomon Airlines,Honiara,Nadi
Solomon Airlines,Honiara,Brisbane
Solomon Airlines,Honiara,Port Moresby
Solomon Airlines,Honiara,Port Vila
Solomon Airlines,Honiara,Tarawa
United Airlines,Pohnpei,Kosrae
Air Vanuatu,Port Vila,Suva
Air New Zealand,Auckland,Tongatapu
Fiji Link,Suva,Tongatapu
Talofa Airways,Apia,Pago Pago
Hawaiian Airlines,Honolulu,Papeete
Aircalin,Noumea,Papeete
Air Niugini,Port Moresby,Pohnpei
Air Niugini,Pohnpei,Chuuk
Air Niugini,Chuuk,Port Moresby
LATAM Airlines,Santiago de Chile,Easter Island
LATAM Airlines,Easter Island,Papeete
Air New Zealand,Auckland,Papeete
United Airlines,Honolulu,Los Angeles
Fiji Airways,Nadi,Kiritimati
Fiji Airways,Kiritimati,Honolulu
United Airlines,Guam,Yap
United Airlines,Guam,Koror
United Airlines,Guam,Saipan
Air Tahiti,Papeete,Rarotonga
Air New Zealand,Rarotonga,Auckland
Latam Equador,Quito,Baltra
Latam Equador,Quito,Santiago de Chile
